Customer ID,Recency,Frequency,Monetary,Churn,R_Score,F_Score,M_Score,RFM_Score,Segment,Churn_Probability
12346.0,327,1,77183.6,1,1,1,5,7,Risk Altında,0.66069293
12347.0,41,7,4310.0,0,4,5,5,14,Şampiyonlar,0.19776085
12348.0,77,4,1797.24,0,3,4,4,11,Sadık Müşteriler,0.1532413
12349.0,20,1,1757.55,0,4,1,4,9,Risk Altında,0.6148963
12350.0,312,1,334.4,1,1,1,2,4,Kayıp Müşteriler,0.60375476
12352.0,74,8,2506.04,0,3,5,5,13,Şampiyonlar,0.058405403
12353.0,205,1,89.0,1,1,1,1,3,Kayıp Müşteriler,0.78629607
12354.0,234,1,1079.4,1,1,1,4,6,Kayıp Müşteriler,0.4934437
12355.0,97,1,459.4,1,2,1,2,5,Kayıp Müşteriler,0.60343397
12356.0,24,3,2811.43,0,4,3,5,12,Sadık Müşteriler,0.2320177
12357.0,183,1,6207.67,1,2,1,5,8,Risk Altında,0.5258899
12358.0,4,2,1168.06,0,5,2,4,11,Sadık Müşteriler,0.4177556
12359.0,10,4,6372.58,0,5,4,5,14,Şampiyonlar,0.16199501
12360.0,54,3,2662.06,0,3,3,5,11,Sadık Müşteriler,0.250809
12361.0,289,1,189.9,1,1,1,1,3,Kayıp Müşteriler,0.6428843
12362.0,31,10,5226.23,0,4,5,5,14,Şampiyonlar,0.06252297
12363.0,37,2,552.0,0,4,2,3,9,Risk Altında,0.4990467
12364.0,42,4,1313.1,0,4,4,4,12,Sadık Müşteriler,0.19156699
12365.0,293,2,641.38,1,1,2,3,6,Kayıp Müşteriler,0.45389295
12367.0,213,1,168.9,1,1,1,1,3,Kayıp Müşteriler,0.686407
12370.0,53,4,3545.69,0,3,4,5,12,Sadık Müşteriler,0.17450291
12371.0,31,2,1887.96,0,4,2,4,10,Sadık Müşteriler,0.3093057
12372.0,36,3,1298.04,0,4,3,4,11,Sadık Müşteriler,0.2801914
12373.0,343,1,364.6,1,1,1,2,4,Kayıp Müşteriler,0.55715364
12374.0,27,1,742.9300000000001,0,4,1,3,8,Risk Altında,0.49008095
12375.0,12,2,457.5,0,5,2,2,9,Risk Altında,0.46083915
12377.0,317,2,1628.12,1,1,2,4,7,Risk Altında,0.54044056
12378.0,306,1,4008.62,1,1,1,5,7,Risk Altında,0.68384874
12379.0,83,2,852.24,0,3,2,3,8,Risk Altında,0.48821718
12380.0,23,4,2724.81,0,4,4,5,13,Şampiyonlar,0.13868988
12381.0,1,5,1845.31,0,5,4,4,13,Şampiyonlar,0.09317719
12383.0,10,5,1850.56,0,5,4,4,13,Şampiyonlar,0.09317719
12384.0,30,2,585.27,0,4,2,3,9,Risk Altında,0.54625565
12386.0,193,2,401.9,1,1,2,2,5,Kayıp Müşteriler,0.39331123
12388.0,17,6,2780.66,0,5,4,5,14,Şampiyonlar,0.09678263
12390.0,81,1,549.84,0,3,1,3,7,Risk Altında,0.57276225
12391.0,23,1,460.89,0,4,1,2,7,Risk Altında,0.60343397
12393.0,40,4,1582.6000000000001,0,4,4,4,12,Sadık Müşteriler,0.2448201
12394.0,154,2,1272.48,1,2,2,4,8,Risk Altında,0.44686937
12395.0,6,12,3018.63,0,5,5,5,15,Şampiyonlar,0.09358315
12397.0,137,2,2409.9,1,2,2,5,9,Risk Altında,0.5074914
12398.0,47,1,1635.6599999999999,0,3,1,4,8,Risk Altında,0.583036
12399.0,3,4,1108.65,0,5,4,4,13,Şampiyonlar,0.22447252
12401.0,100,1,84.3,1,2,1,1,4,Kayıp Müşteriler,0.78629607
12402.0,325,1,225.6,1,1,1,1,3,Kayıp Müşteriler,0.60765815
12403.0,51,1,427.7,0,3,1,2,6,Kayıp Müşteriler,0.60498077
12405.0,150,1,1710.39,1,2,1,4,7,Risk Altında,0.6148963
12406.0,23,2,3415.3,0,4,2,5,11,Sadık Müşteriler,0.3678943
12407.0,51,5,1708.1200000000001,0,3,4,4,11,Sadık Müşteriler,0.17664528
12408.0,153,5,2888.55,1,2,4,5,11,Sadık Müşteriler,0.10088412
12409.0,66,3,11072.67,0,3,3,5,11,Sadık Müşteriler,0.31567347
12410.0,253,2,693.3299999999999,1,1,2,3,6,Kayıp Müşteriler,0.528717
12412.0,76,3,1226.88,0,3,3,4,10,Sadık Müşteriler,0.2801914
12413.0,193,3,758.1,1,1,3,3,7,Risk Altında,0.40972975
12414.0,189,3,562.41,1,2,3,3,8,Risk Altında,0.33930504
12415.0,26,21,124914.53,0,4,5,5,14,Şampiyonlar,0.00271768
12417.0,41,9,3649.1,0,4,5,5,14,Şampiyonlar,0.14040586
12418.0,114,1,668.58,1,2,1,3,6,Kayıp Müşteriler,0.5063215
12420.0,154,1,600.39,1,2,1,3,6,Kayıp Müşteriler,0.672783
12421.0,17,4,807.04,0,5,4,3,12,Sadık Müşteriler,0.2861495
12422.0,170,3,803.5600000000001,1,2,3,3,8,Risk Altında,0.3715346
12423.0,90,8,1859.31,1,2,5,4,11,Sadık Müşteriler,0.05607645
12424.0,164,2,1760.96,1,2,2,4,8,Risk Altında,0.52990216
12425.0,79,1,777.2,0,3,1,3,7,Risk Altında,0.4497769
12426.0,196,1,582.73,1,1,1,3,5,Kayıp Müşteriler,0.672783
12427.0,23,3,825.8,0,4,3,3,10,Sadık Müşteriler,0.35780066
12428.0,27,9,7956.46,0,4,5,5,14,Şampiyonlar,0.06610392
12429.0,10,4,3750.4,0,5,4,5,14,Şampiyonlar,0.25980917
12430.0,45,1,256.4,0,3,1,2,6,Kayıp Müşteriler,0.56652737
12431.0,3,15,6487.45,0,5,5,5,15,Şampiyonlar,0.00400632
12432.0,44,5,5059.32,0,4,4,5,13,Şampiyonlar,0.29578367
12433.0,11,7,13375.87,0,5,5,5,15,Şampiyonlar,0.0609843
12434.0,86,2,806.14,0,3,2,3,8,Risk Altında,0.55331814
12435.0,81,2,7829.89,0,3,2,5,10,Sadık Müşteriler,0.65324575
12436.0,336,1,509.01,1,1,1,3,5,Kayıp Müşteriler,0.58246386
12437.0,10,18,4951.41,0,5,5,5,15,Şampiyonlar,0.012430837
12438.0,16,2,2906.85,0,5,2,5,12,Sadık Müşteriler,0.451244
12441.0,486,1,173.55,1,1,1,1,3,Kayıp Müşteriler,0.686407
