Customer ID,Recency,Frequency,Monetary,Churn,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.0,327,1,77183.6,1,1,1,5,7,Risk Altında
12347.0,41,7,4310.0,0,4,5,5,14,Şampiyonlar
12348.0,77,4,1797.24,0,3,4,4,11,Sadık Müşteriler
12349.0,20,1,1757.55,0,4,1,4,9,Risk Altında
12350.0,312,1,334.4,1,1,1,2,4,Kayıp Müşteriler
12352.0,74,8,2506.04,0,3,5,5,13,Şampiyonlar
12353.0,205,1,89.0,1,1,1,1,3,Kayıp Müşteriler
12354.0,234,1,1079.4,1,1,1,4,6,Kayıp Müşteriler
12355.0,97,1,459.4,1,2,1,2,5,Kayıp Müşteriler
12356.0,24,3,2811.43,0,4,3,5,12,Sadık Müşteriler
12357.0,183,1,6207.67,1,2,1,5,8,Risk Altında
12358.0,4,2,1168.06,0,5,2,4,11,Sadık Müşteriler
12359.0,10,4,6372.58,0,5,4,5,14,Şampiyonlar
12360.0,54,3,2662.06,0,3,3,5,11,Sadık Müşteriler
12361.0,289,1,189.9,1,1,1,1,3,Kayıp Müşteriler
12362.0,31,10,5226.23,0,4,5,5,14,Şampiyonlar
12363.0,37,2,552.0,0,4,2,3,9,Risk Altında
12364.0,42,4,1313.1,0,4,4,4,12,Sadık Müşteriler
12365.0,293,2,641.38,1,1,2,3,6,Kayıp Müşteriler
12367.0,213,1,168.9,1,1,1,1,3,Kayıp Müşteriler
12370.0,53,4,3545.69,0,3,4,5,12,Sadık Müşteriler
12371.0,31,2,1887.96,0,4,2,4,10,Sadık Müşteriler
12372.0,36,3,1298.04,0,4,3,4,11,Sadık Müşteriler
12373.0,343,1,364.6,1,1,1,2,4,Kayıp Müşteriler
12374.0,27,1,742.9300000000001,0,4,1,3,8,Risk Altında
12375.0,12,2,457.5,0,5,2,2,9,Risk Altında
12377.0,317,2,1628.12,1,1,2,4,7,Risk Altında
12378.0,306,1,4008.62,1,1,1,5,7,Risk Altında
12379.0,83,2,852.24,0,3,2,3,8,Risk Altında
12380.0,23,4,2724.81,0,4,4,5,13,Şampiyonlar
12381.0,1,5,1845.31,0,5,4,4,13,Şampiyonlar
12383.0,10,5,1850.56,0,5,4,4,13,Şampiyonlar
12384.0,30,2,585.27,0,4,2,3,9,Risk Altında
12386.0,193,2,401.9,1,1,2,2,5,Kayıp Müşteriler
12388.0,17,6,2780.66,0,5,4,5,14,Şampiyonlar
12390.0,81,1,549.84,0,3,1,3,7,Risk Altında
12391.0,23,1,460.89,0,4,1,2,7,Risk Altında
12393.0,40,4,1582.6000000000001,0,4,4,4,12,Sadık Müşteriler
12394.0,154,2,1272.48,1,2,2,4,8,Risk Altında
12395.0,6,12,3018.63,0,5,5,5,15,Şampiyonlar
12397.0,137,2,2409.9,1,2,2,5,9,Risk Altında
12398.0,47,1,1635.6599999999999,0,3,1,4,8,Risk Altında
12399.0,3,4,1108.65,0,5,4,4,13,Şampiyonlar
12401.0,100,1,84.3,1,2,1,1,4,Kayıp Müşteriler
12402.0,325,1,225.6,1,1,1,1,3,Kayıp Müşteriler
12403.0,51,1,427.7,0,3,1,2,6,Kayıp Müşteriler
12405.0,150,1,1710.39,1,2,1,4,7,Risk Altında
12406.0,23,2,3415.3,0,4,2,5,11,Sadık Müşteriler
12407.0,51,5,1708.1200000000001,0,3,4,4,11,Sadık Müşteriler
12408.0,153,5,2888.55,1,2,4,5,11,Sadık Müşteriler
12409.0,66,3,11072.67,0,3,3,5,11,Sadık Müşteriler
12410.0,253,2,693.3299999999999,1,1,2,3,6,Kayıp Müşteriler
12412.0,76,3,1226.88,0,3,3,4,10,Sadık Müşteriler
